figure_id,role,population,dimension,source_table_id,source_row_key,quantity,series,label,source_value_string,plot_value,interval_lower_string,interval_lower,interval_upper_string,interval_upper,estimate_status,interval_status,interval_method,confidence_level_wording,sample_size_string,sample_size,sample_unit,support_band,exported_caution,unavailable_reason,human_majority_positive_n_string,human_majority_positive_n,model_positive_n_string,model_positive_n,fp_string,fp,fn_string,fn,performance_metrics_reportable,pair_family,relation,eligible_pairs_string,eligible_pairs,pair_count_string,pair_count,empty_set_pairs_string,empty_set_pairs,nonempty_proportion_status
figure_6,plotted,baseline,Research Domains,S3T001,alpha ABC,alpha ABC,alpha,,0.5263372741925532,0.5263372741925532,0.46224449389668326,0.46224449389668326,0.585362854021168,0.585362854021168,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Research Domains,S3T001,alpha LBC,alpha LBC,alpha,,0.5833854979981307,0.5833854979981307,0.5172487777374111,0.5172487777374111,0.6448557416250583,0.6448557416250583,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Research Domains,S3T001,alpha ALC,alpha ALC,alpha,,0.5279824870301835,0.5279824870301835,0.4671993902298955,0.4671993902298955,0.5840521005693622,0.5840521005693622,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Research Domains,S3T001,alpha ABL,alpha ABL,alpha,,0.5735239672738957,0.5735239672738957,0.516112922491721,0.516112922491721,0.6313086764417416,0.6313086764417416,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Research Domains,S3T001,delta_A,delta_A,delta,,0.0570482238055775,0.0570482238055775,0.014257987326817309,0.014257987326817309,0.10146298358066166,0.10146298358066166,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Research Domains,S3T001,delta_B,delta_B,delta,,0.0016452128376303055,0.0016452128376303055,-0.03470582294311854,-0.03470582294311854,0.03985872148339125,0.03985872148339125,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Research Domains,S3T001,delta_C,delta_C,delta,,0.04718669308134249,0.04718669308134249,0.0010968802425962044,0.0010968802425962044,0.09505635688422749,0.09505635688422749,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Research Domains,S3T001,delta_min,delta_min,delta,,0.0016452128376303055,0.0016452128376303055,-0.03470582294311854,-0.03470582294311854,0.038533287558298546,0.038533287558298546,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Analytical Purposes,S3T002,alpha ABC,alpha ABC,alpha,,0.2921101465494055,0.2921101465494055,0.2235651862514494,0.2235651862514494,0.3546834656137432,0.3546834656137432,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Analytical Purposes,S3T002,alpha LBC,alpha LBC,alpha,,0.27561685370002553,0.27561685370002553,0.20809735404080204,0.20809735404080204,0.3373573842058283,0.3373573842058283,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
figure_6,plotted,baseline,Analytical Purposes,S3T002,alpha ALC,alpha ALC,alpha,,0.24944189515977,0.24944189515977,0.1836683964830065,0.1836683964830065,0.3122342154613424,0.3122342154613424,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,150 records,150,records,,,,,,,,,,,,,,,,,,,,,
