deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Figure 1,plotted,baseline,Research Domains,,,alpha,alpha ABC,,analysis/scratch_coder_results/results.md,S3T001,S3,alpha ABC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.5263372741925532,0.5263372741925532,0.46224449389668326,0.46224449389668326,0.585362854021168,0.585362854021168,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,C01/C02/C03,,,,
Figure 1,plotted,baseline,Research Domains,,,alpha,alpha LBC,,analysis/scratch_coder_results/results.md,S3T001,S3,alpha LBC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.5833854979981307,0.5833854979981307,0.5172487777374111,0.5172487777374111,0.6448557416250583,0.6448557416250583,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,Fable 5/C02/C03,,,,
Figure 1,plotted,baseline,Research Domains,,,alpha,alpha ALC,,analysis/scratch_coder_results/results.md,S3T001,S3,alpha ALC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.5279824870301835,0.5279824870301835,0.4671993902298955,0.4671993902298955,0.5840521005693622,0.5840521005693622,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,C01/Fable 5/C03,,,,
Figure 1,plotted,baseline,Research Domains,,,alpha,alpha ABL,,analysis/scratch_coder_results/results.md,S3T001,S3,alpha ABL,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.5735239672738957,0.5735239672738957,0.516112922491721,0.516112922491721,0.6313086764417416,0.6313086764417416,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,C01/C02/Fable 5,,,,
Figure 1,plotted,baseline,Research Domains,,,delta,delta_A,,analysis/scratch_coder_results/results.md,S3T001,S3,delta_A,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.0570482238055775,0.0570482238055775,0.014257987326817309,0.014257987326817309,0.10146298358066166,0.10146298358066166,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,LBC − ABC,,,,
Figure 1,plotted,baseline,Research Domains,,,delta,delta_B,,analysis/scratch_coder_results/results.md,S3T001,S3,delta_B,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.0016452128376303055,0.0016452128376303055,-0.03470582294311854,-0.03470582294311854,0.03985872148339125,0.03985872148339125,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,ALC − ABC,,,,
Figure 1,plotted,baseline,Research Domains,,,delta,delta_C,,analysis/scratch_coder_results/results.md,S3T001,S3,delta_C,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.04718669308134249,0.04718669308134249,0.0010968802425962044,0.0010968802425962044,0.09505635688422749,0.09505635688422749,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,ABL − ABC,,,,
Figure 1,plotted,baseline,Research Domains,,,delta,delta_min,,analysis/scratch_coder_results/results.md,S3T001,S3,delta_min,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.0016452128376303055,0.0016452128376303055,-0.03470582294311854,-0.03470582294311854,0.038533287558298546,0.038533287558298546,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,"minimum of delta_A, delta_B and delta_C; matching observed component(s): delta_B",,,,
Figure 1,plotted,baseline,Analytical Purposes,,,alpha,alpha ABC,,analysis/scratch_coder_results/results.md,S3T002,S3,alpha ABC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.2921101465494055,0.2921101465494055,0.2235651862514494,0.2235651862514494,0.3546834656137432,0.3546834656137432,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,C01/C02/C03,,,,
Figure 1,plotted,baseline,Analytical Purposes,,,alpha,alpha LBC,,analysis/scratch_coder_results/results.md,S3T002,S3,alpha LBC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.27561685370002553,0.27561685370002553,0.20809735404080204,0.20809735404080204,0.3373573842058283,0.3373573842058283,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,Fable 5/C02/C03,,,,
